SiteID,SER,xingTYPE,LOC,EFF_S,mWET,LENGTH
101culvertD,101,culvert,zD,1012,3.54,300
101culvertU,101,culvert,U,993,3.8,300
102culvertD,102,culvert,zD,1051,3.55,300
102culvertU,102,culvert,U,930,4.09,300
103culvertD,103,culvert,zD,947,2.46,300
103culvertU,103,culvert,U,965,2.79,300
104culvertD,104,culvert,zD,973,1.69,300
104culvertU,104,culvert,U,945,1.63,300
105bridgeD,105,bridge,zD,930,4.65,300
105bridgeU,105,bridge,U,936,4.87,300
106culvertD,106,culvert,zD,913,3.03,300
106culvertU,106,culvert,U,925,1.95,300
107bridgeD,107,bridge,zD,924,3.11,300
107bridgeU,107,bridge,U,964,2.88,300
108culvertD,108,culvert,zD,1049,3.26,300
108culvertU,108,culvert,U,1013,2.84,300
109culvertD,109,culvert,zD,1010,2.35,300
109culvertU,109,culvert,U,1050,2.65,300
110culvertD,110,culvert,zD,910,2.84,300
110culvertU,110,culvert,U,903,2.62,300
111culvertD,111,culvert,zD,974,2.05,300
111culvertU,111,culvert,U,964,1.84,300
112culvertD,112,culvert,zD,953,2.17,300
112culvertU,112,culvert,U,1003,1.41,300
118culvertD,118,culvert,zD,650,0.83,300
118culvertU,118,culvert,U,910,1.08,300
126bridgeD,126,bridge,zD,933,2.38,300
126bridgeU,126,bridge,U,910,1.95,300
127bridgeD,127,bridge,zD,1058,1.44,300
127bridgeU,127,bridge,U,1007,1.38,300
128bridgeD,128,bridge,zD,970,1.74,300
128bridgeU,128,bridge,U,961,1.91,300
129bridgeD,129,bridge,zD,932,1.52,300
129bridgeU,129,bridge,U,920,1.75,300
130bridgeD,130,bridge,zD,970,1.86,300
130bridgeU,130,bridge,U,946,2,300
131bridgeD,131,bridge,zD,1024,1.75,300
131bridgeU,131,bridge,U,1059,1.55,300
132bridgeD,132,bridge,zD,979,3.77,300
132bridgeU,132,bridge,U,955,3.4,300
133bridgeD,133,bridge,zD,1037,2.81,300
133bridgeU,133,bridge,U,1013,3.08,300
134bridgeD,134,bridge,zD,903,0.99,300
134bridgeU,134,bridge,U,913,1.1,300
136refD,136,ref,zD,992,2.01,300
136refU,136,ref,U,921,2.64,300
137refD,137,ref,zD,1003,3.37,300
137refU,137,ref,U,1009,3.23,300
138refD,138,ref,zD,1039,1.97,300
138refU,138,ref,U,1001,1.57,300
139refD,139,ref,zD,942,1.18,300
139refU,139,ref,U,987,1.08,300
140refD,140,ref,zD,939,2.62,300
140refU,140,ref,U,945,2.51,300
141refD,141,ref,zD,923,1.65,300
141refU,141,ref,U,911,1.84,300
142refD,142,ref,zD,958,2.29,300
142refU,142,ref,U,979,1.51,300
143refD,143,ref,zD,936,2.04,300
143refU,143,ref,U,952,1.95,300
144refD,144,ref,zD,1021,2.73,300
144refU,144,ref,U,992,2.25,300
145refD,145,ref,zD,1011,2.02,300
145refU,145,ref,U,992,2.65,300
146refD,146,ref,zD,927,1.99,300
146refU,146,ref,U,956,1.91,300
