SER,SITE_ID,xingTYPE,xingTYPE,LOC,SiteID,TRANSECT,COND,TURBID,FINES,GRAVEL,COBBLE,BOULDER,sumROCK,meanROCK,WET_W,BANK_W,DEP_L,DEP_M,DEP_R,mean_DEPTH,VELO,TEMP,DO,pH,POOL,RIFF,RUN
101,UA_460,culvert,culvert,up,101culvertU,T0,214.3,4.55,40,15,15,30,60,20,4.81,6.12,0.14,0.27,0.23,0.213,0.113,19.7,7.6,8.35,NA,NA,NA
101,UA_460,culvert,culvert,up,101culvertU,T1,NA,NA,35,25,40,0,65,21.66666667,2.73,6.19,0.39,0.24,0.13,0.253,NA,NA,NA,NA,55,15,30
101,UA_460,culvert,culvert,up,101culvertU,T2,208.4,3.74,40,10,45,5,60,20,3.83,8.4,0.16,0.36,0.42,0.313,0.184,19.8,7.5,8.33,35,15,30
101,UA_460,culvert,culvert,up,101culvertU,T3,NA,NA,80,15,5,0,20,6.666666667,3.7,6.34,0.16,0.24,0.18,0.193,NA,NA,NA,NA,25,15,40
101,UA_460,culvert,culvert,up,101culvertU,T4,211.9,3.77,30,15,55,0,70,23.33333333,4.02,5.34,0.03,0.19,0.24,0.153,0.166,19.5,7.56,8.33,80,10,10
101,UA_460,culvert,culvert,up,101culvertU,T5,NA,NA,35,15,45,5,65,21.66666667,4.2,10.2,0.23,0.16,0.23,0.207,NA,NA,NA,NA,60,10,30
101,UA_460,culvert,culvert,up,101culvertU,T6,201.9,5.69,80,0,5,15,20,6.666666667,3.3,5.91,0.3,0.29,0.41,0.333,0.193,19.9,7.34,8.31,70,5,25
102,UA_327,culvert,culvert,up,102culvertU,T0,148.2,4.61,100,0,0,0,0,0,5,5.87,0.48,0.72,0.54,0.61,0.089,18.5,7.4,7.91,NA,NA,NA
102,UA_327,culvert,culvert,up,102culvertU,T1,NA,NA,100,0,0,0,0,0,4.2,4.2,0.35,0.31,0.42,0.42,NA,NA,NA,NA,80,10,10
102,UA_327,culvert,culvert,up,102culvertU,T2,145.3,4.34,90,10,0,0,10,3.333333333,4.2,6.34,0.71,0.74,0.31,0.587,0.076,18.9,7.13,7.9,80,10,10
102,UA_327,culvert,culvert,up,102culvertU,T3,NA,NA,85,5,10,0,15,5,3.2,4.8,0.28,0.3,0.21,0.31,NA,NA,NA,NA,50,10,40
102,UA_327,culvert,culvert,up,102culvertU,T4,142.8,4.18,25,65,10,0,75,25,4.2,5.13,0.07,0.11,0.17,0.19,0.102,18.9,7.23,7.95,50,15,35
102,UA_327,culvert,culvert,up,102culvertU,T5,NA,NA,20,30,35,15,80,26.66666667,3.56,4.58,0.1,0.23,0.14,0.157,NA,NA,NA,NA,60,20,20
102,UA_327,culvert,culvert,up,102culvertU,T6,142.3,4.19,10,55,30,5,90,30,4.3,5.63,0.25,0.19,0.2,0.213,0.096,19.2,7.2,7.95,55,15,30
103,UA_263,culvert,culvert,up,103culvertU,T0,270.1,11.2,100,0,0,0,0,0,2.22,3.08,0.3,0.24,0.11,0.25,0.123,18.7,7.8,7.89,NA,NA,NA
103,UA_263,culvert,culvert,up,103culvertU,T1,NA,NA,100,0,0,0,0,0,3.2,4.4,0.54,0.73,0.16,0.54,NA,NA,NA,NA,85,0,15
103,UA_263,culvert,culvert,up,103culvertU,T2,273.1,11.31,95,0,10,0,10,3.333333333,2.17,3.16,0.15,0.1,0.06,0.16,0.215,20,7.24,7.93,65,15,20
103,UA_263,culvert,culvert,up,103culvertU,T3,NA,NA,85,5,10,0,15,5,2.9,3.1,0.09,0.44,0.47,0.38,NA,NA,NA,NA,80,10,10
103,UA_263,culvert,culvert,up,103culvertU,T4,275.8,11.8,100,0,0,0,0,0,2.35,2.5,0.65,0.78,0.44,0.623,0.094,19.8,7.33,7.87,80,5,15
103,UA_263,culvert,culvert,up,103culvertU,T5,NA,NA,90,0,10,0,10,3.333333333,3.4,5.3,0.52,0.44,0.23,0.46,NA,NA,NA,NA,85,0,15
103,UA_263,culvert,culvert,up,103culvertU,T6,274.6,11.09,80,15,5,0,20,6.666666667,3.3,4.6,0.24,0.23,0.13,0.26,0.066,19.9,7.35,7.93,50,30,20
104,UA_256,culvert,culvert,up,104culvertU,T0,172,1.21,45,55,0,0,55,18.33333333,2.12,2.53,0,0.16,0.34,0.167,0.121,18.3,7.3,7.66,NA,NA,NA
104,UA_256,culvert,culvert,up,104culvertU,T1,NA,NA,90,10,0,0,10,3.333333333,1.22,1.22,0.33,0.39,0.35,0.41,NA,NA,NA,NA,80,0,20
104,UA_256,culvert,culvert,up,104culvertU,T2,170.6,1.1,95,5,0,0,5,1.666666667,1.5,1.54,0.19,0.25,0.03,0.24,0.093,18.6,7.22,7.82,90,0,10
104,UA_256,culvert,culvert,up,104culvertU,T3,NA,NA,100,0,0,0,0,0,1.73,1.73,0.28,0.33,0.21,0.31,NA,NA,NA,NA,80,5,15
104,UA_256,culvert,culvert,up,104culvertU,T4,171.8,1.23,75,25,0,0,25,8.333333333,1.42,2.61,0.16,0.31,0.09,0.21,0.1,18.7,7.18,7.76,80,0,20
104,UA_256,culvert,culvert,up,104culvertU,T5,NA,NA,95,5,0,0,5,1.666666667,1.73,1.92,0.12,0.18,0.13,0.19,NA,NA,NA,NA,80,5,15
