name,spec01,spec02,spec03,spec04,spec05,spec06,spec07,spec08,spec09,spec10,spec11
site01,1,1,0,1,1,1,0,0,0,1,1
site02,0,1,0,0,0,1,0,0,1,0,0
site03,0,1,0,1,1,1,0,0,1,1,1
site04,0,1,0,0,0,1,0,0,1,0,0
site05,0,0,0,1,1,0,0,0,0,1,1
site06,0,0,0,0,0,0,0,0,0,1,0
site07,1,1,1,0,1,0,0,0,0,1,1
site08,0,0,0,0,0,0,0,0,0,1,0
site09,0,1,0,1,1,1,1,1,0,0,1
site10,0,1,0,1,1,1,1,1,1,0,1
site11,0,0,0,1,1,0,0,0,0,1,0
site12,0,0,0,1,0,0,0,0,0,0,0
site13,0,0,0,0,1,0,0,0,0,1,0
site14,0,0,0,0,1,0,0,0,0,1,0
site15,0,1,1,1,1,1,0,0,0,0,1
site16,0,1,0,0,0,0,0,0,0,0,0
site17,0,0,0,0,1,0,0,0,0,0,0
site18,0,0,0,0,1,0,0,0,0,0,0
site19,0,0,1,0,0,0,0,0,0,1,1
site20,0,0,1,0,0,0,0,0,0,1,0
site21,0,0,1,0,0,0,0,0,0,1,0
site22,0,0,1,0,0,0,0,0,0,0,0
site23,0,0,0,1,0,0,0,0,0,1,1
site24,0,0,0,0,0,0,0,0,0,1,0
site25,0,0,0,0,1,0,0,0,1,0,0
site26,0,0,0,0,1,0,0,0,1,0,0
site27,0,0,0,0,1,0,0,0,0,0,0
site28,0,0,0,0,1,0,0,0,0,0,0
site29,0,0,0,0,1,0,1,0,0,0,0
site30,0,0,0,0,1,0,1,0,0,0,0
site31,0,0,1,0,0,0,0,0,0,1,0
site32,0,0,1,0,0,0,0,0,0,1,0
site33,0,0,0,0,1,0,0,0,0,1,0
site34,0,0,1,0,1,0,0,0,0,1,0
site35,0,0,0,1,1,0,0,0,0,0,0
site36,0,0,0,1,1,0,0,0,0,0,0
site37,0,0,0,1,1,0,0,0,0,0,0
site38,0,0,0,1,1,0,0,0,1,0,0
site39,0,0,0,0,1,0,1,0,1,0,0
site40,0,0,0,0,1,0,1,0,1,0,0
site41,0,0,0,1,1,0,0,0,0,1,0
site42,0,0,0,1,1,0,0,0,0,1,0
site43,0,0,0,1,1,0,0,0,0,1,0
site44,0,0,0,1,1,0,0,0,0,1,0
site45,0,1,0,1,1,1,0,1,0,1,1
site46,0,1,0,1,1,1,0,1,0,1,1
site47,1,1,0,1,1,1,0,1,0,1,1
site48,0,1,0,1,1,1,0,1,0,1,1
site49,0,0,0,1,1,0,0,0,0,0,1
site50,0,0,0,1,1,0,0,0,0,0,1
site51,0,0,0,0,1,0,1,0,1,0,0
site52,0,0,0,0,1,0,1,0,1,0,0
site53,0,0,0,1,1,0,0,0,0,1,1
site54,0,0,0,1,1,0,0,0,1,1,1
site55,0,0,1,1,0,0,0,0,0,1,1
site56,0,0,1,1,0,0,0,0,0,1,1
site57,0,0,0,0,1,0,0,0,0,1,0
site58,0,0,0,0,1,0,0,0,0,1,0
site59,0,0,1,1,1,1,0,0,1,1,1
site60,0,0,1,1,1,1,0,0,1,1,1
site61,0,0,0,1,1,0,0,0,0,0,1
site62,0,0,0,1,1,0,0,0,0,0,1
site63,0,0,1,1,0,0,0,0,0,1,0
site64,0,0,1,1,0,0,0,0,0,1,0
