"SiteID","DEN_N.ARGR","DEN_N.PRDC","DEN_N.NRDC","DEN_N.LNDC","DEN_N.MNWH","DEN_N.FNDC","DEN_N.LNSC","DEN_N.BRST","DEN_N.LKCH","DEN_N.BLTR","DEN_N.WHSC","DEN_N.SLSC","DEN_N.NFDC","DEN_N.RDSH","DEN_N.BURB","DEN_N.TRPR"
"101culvertD",0,0.00376647834274953,0.0103578154425612,0.00376647834274953,0,0,0,0,0.012241054613936,0,0.00282485875706215,0.00941619585687382,0,0.0103578154425612,0,0
"101culvertU",0.00087719298245614,0,0,0.00175438596491228,0,0,0,0,0,0,0,0,0,0.00263157894736842,0,0
"102culvertD",0,0,0.0103286384976526,0.00375586854460094,0.00187793427230047,0,0.00187793427230047,0,0.0140845070422535,0,0.0028169014084507,0.00375586854460094,0,0.00845070422535211,0,0
"102culvertU",0,0,0,0.00244498777506112,0.000814995925020375,0,0,0,0,0,0,0,0,0.00162999185004075,0,0
"103culvertD",0,0,0.018970189701897,0,0,0.013550135501355,0.00542005420054201,0,0.0176151761517615,0,0,0.013550135501355,0,0,0,0
"103culvertU",0,0,0.004778972520908,0,0,0,0,0,0,0,0,0,0,0,0,0
"104culvertD",0,0.0118343195266272,0.0394477317554241,0.0157790927021696,0,0.0276134122287968,0,0.0374753451676529,0,0,0.0019723865877712,0.0177514792899408,0.00394477317554241,0,0,0
"104culvertU",0,0,0.0143149284253579,0,0,0,0,0,0,0,0,0,0,0,0,0
"105bridgeD",0,0,0,0.00788530465949821,0,0,0.00501792114695341,0,0.0129032258064516,0,0,0.00931899641577061,0,0.00931899641577061,0.0014336917562724,0.00501792114695341
"105bridgeU",0,0,0,0.00616016427104723,0.000684462696783025,0,0.00205338809034908,0,0.0123203285420945,0,0,0.0082135523613963,0,0.0082135523613963,0.000684462696783025,0.00205338809034908
"106culvertD",0,0,0,0,0,0.0044004400440044,0,0,0.0033003300330033,0,0,0.0044004400440044,0,0,0,0
"106culvertU",0,0,0,0,0,0,0,0,0.00341880341880342,0,0,0,0,0,0,0
"107bridgeD",0,0,0,0,0,0.00321543408360129,0,0,0,0,0,0.0203644158628081,0,0,0,0
"107bridgeU",0,0,0,0,0,0.00694444444444444,0,0,0,0,0,0.0231481481481481,0,0,0,0
"108culvertD",0,0.00715746421267894,0.0173824130879346,0.0081799591002045,0,0.0122699386503068,0.00715746421267894,0.016359918200409,0.0337423312883436,0,0.0081799591002045,0.0224948875255624,0,0.016359918200409,0,0
"108culvertU",0,0,0,0,0,0.0117370892018779,0.00469483568075117,0,0.0140845070422535,0,0.00234741784037559,0,0,0.00938967136150235,0,0
"109culvertD",0,0,0,0.0127659574468085,0,0,0.00567375886524823,0.0141843971631206,0.0141843971631206,0,0,0.0099290780141844,0,0.0099290780141844,0,0
"109culvertU",0,0,0,0.0050314465408805,0,0,0,0,0,0,0,0,0,0,0,0
"110culvertD",0,0,0,0,0,0,0,0,0,0,0,0.0211267605633803,0,0,0,0
"110culvertU",0,0,0,0,0,0,0,0,0,0,0,0.0127226463104326,0,0,0,0
"111culvertD",0,0,0.040650406504065,0,0,0.0292682926829268,0,0.0260162601626016,0,0,0.0032520325203252,0,0,0,0,0
"111culvertU",0,0,0.0307971014492754,0,0,0.0253623188405797,0,0.0253623188405797,0,0,0,0,0,0,0,0
"112culvertD",0,0,0.00768049155145929,0,0,0.0276497695852535,0,0.0153609831029186,0,0,0,0,0,0,0,0
"112culvertU",0,0,0,0,0,0,0,0.00709219858156028,0,0,0,0,0,0,0,0
"118culvertD",0,0,0,0,0,0.0522088353413655,0,0,0.036144578313253,0,0.0200803212851406,0,0,0,0,0
"118culvertU",0,0,0,0,0,0.00617283950617284,0,0,0,0,0,0,0,0,0,0
"126bridgeD",0,0,0,0,0.00140056022408964,0,0,0,0,0,0,0.0742296918767507,0,0,0,0
"126bridgeU",0,0,0,0,0.00341880341880342,0,0,0,0,0,0,0.0632478632478632,0,0,0,0
"127bridgeD",0,0,0,0,0,0,0,0,0,0,0,0.0439814814814815,0,0,0,0
"127bridgeU",0,0,0,0,0,0,0,0,0,0,0,0.0289855072463768,0,0,0,0
"128bridgeD",0,0,0,0,0,0,0,0,0,0,0,0.0478927203065134,0,0,0.00383141762452107,0
"128bridgeU",0,0,0,0,0,0,0,0,0,0,0,0.0296684118673647,0,0,0.00174520069808028,0
"129bridgeD",0,0,0,0,0,0.0307017543859649,0,0.0570175438596491,0,0,0,0,0,0,0,0
"129bridgeU",0,0,0,0,0,0.0304761904761905,0,0.04,0,0,0,0,0,0,0,0
"130bridgeD",0,0,0.021505376344086,0,0,0.0304659498207885,0,0,0,0,0,0.03584229390681,0,0,0,0
"130bridgeU",0,0,0.0166666666666667,0,0,0.0133333333333333,0,0.0183333333333333,0,0,0,0.00666666666666667,0,0,0,0
"131bridgeD",0,0,0,0,0,0,0,0,0.019047619047619,0,0,0.0571428571428571,0,0,0,0
"131bridgeU",0,0,0,0,0,0,0,0,0.0301075268817204,0,0,0.0516129032258065,0,0,0,0
"132bridgeD",0,0,0,0,0,0,0,0,0.00618921308576481,0,0,0.0344827586206897,0,0,0,0
"132bridgeU",0.000980392156862745,0,0,0,0,0,0,0,0.00294117647058824,0,0,0.0313725490196078,0,0,0,0
"133bridgeD",0,0,0,0,0.00118623962040332,0,0,0,0,0,0,0.0581257413997628,0,0,0.00237247924080664,0
"133bridgeU",0.00108225108225108,0,0,0,0,0,0,0,0,0,0,0.0443722943722944,0,0,0.00216450216450216,0
"134bridgeD",0,0,0.0404040404040404,0,0,0.0606060606060606,0,0,0.0707070707070707,0,0,0.0404040404040404,0,0,0,0
"134bridgeU",0,0,0.0242424242424242,0,0,0.0484848484848485,0,0,0.0636363636363636,0,0,0.0424242424242424,0,0,0,0
"136refD",0,0,0,0,0,0.0232172470978441,0,0,0.0116086235489221,0,0,0.0497512437810945,0,0,0,0
