SiteID,DEN_N.PRDC,DEN_N.LNDC,DEN_N.BRST,DEN_N.LKCH,DEN_N.SLSC,DEN_N.RDSH,DEN_N.BURB,DEN_N.TRPR,DEN.SALMO,DEN.PHOX,DEN.SUCK
101culvertD,0.003766478,0.003766478,0,0.012241055,0.009416196,0.010357815,0,0,0,0.010357815,0.002824859
102culvertD,0,0.003755869,0,0.014084507,0.003755869,0.008450704,0,0,0.001877934,0.010328638,0.004694835
103culvertD,0,0,0,0.017615176,0.013550136,0,0,0,0,0.032520326,0.005420054
104culvertD,0.01183432,0.015779093,0.037475345,0,0.017751479,0,0,0,0,0.071005917,0.001972387
106culvertD,0,0,0,0.00330033,0.00440044,0,0,0,0,0.00440044,0
108culvertD,0.007157464,0.008179959,0.016359918,0.033742331,0.022494888,0.016359918,0,0,0,0.029652352,0.015337423
109culvertD,0,0.012765957,0.014184397,0.014184397,0.009929078,0.009929078,0,0,0,0,0.005673759
110culvertD,0,0,0,0,0.021126761,0,0,0,0,0,0
111culvertD,0,0,0.02601626,0,0,0,0,0,0,0.0699187,0.003252033
112culvertD,0,0,0.015360983,0,0,0,0,0,0,0.035330262,0
118culvertD,0,0,0,0.036144578,0,0,0,0,0,0.052208835,0.020080321
101culvertU,0,0.001754386,0,0,0,0.002631579,0,0,0.000877193,0,0
102culvertU,0,0.002444988,0,0,0,0.001629992,0,0,0.000814996,0,0
103culvertU,0,0,0,0,0,0,0,0,0,0.004778973,0
104culvertU,0,0,0,0,0,0,0,0,0,0.014314928,0
106culvertU,0,0,0,0.003418803,0,0,0,0,0,0,0
108culvertU,0,0,0,0.014084507,0,0.009389671,0,0,0,0.011737089,0.007042254
109culvertU,0,0.005031447,0,0,0,0,0,0,0,0,0
110culvertU,0,0,0,0,0.012722646,0,0,0,0,0,0
111culvertU,0,0,0.025362319,0,0,0,0,0,0,0.05615942,0
112culvertU,0,0,0.007092199,0,0,0,0,0,0,0,0
118culvertU,0,0,0,0,0,0,0,0,0,0.00617284,0
105bridgeD,0,0.007885305,0,0.012903226,0.009318996,0.009318996,0.001433692,0.005017921,0,0,0.005017921
107bridgeD,0,0,0,0,0.020364416,0,0,0,0,0.003215434,0
126bridgeD,0,0,0,0,0.074229692,0,0,0,0.00140056,0,0
